"Month","Longitude","Latitude","Location","Crime.type"
"2015-01",-5.887876,54.395883," Carlisle Park","Anti-social behaviour"
"2015-01",-6.575511,54.085227," Trainor Crescent","Anti-social behaviour"
"2015-01",-6.341419,54.465904," Rectory Park","Anti-social behaviour"
"2015-01",-7.324526,55.00623," Northland Road","Anti-social behaviour"
"2015-01",-6.642377,54.347512," Gough Avenue","Anti-social behaviour"
"2015-01",-6.043742,54.512557," Railway Street","Anti-social behaviour"
"2015-01",-6.673796,55.123415," Screen Road","Anti-social behaviour"
"2015-01",-5.908489,54.590915," Ravenhill Street","Anti-social behaviour"
"2015-01",-5.847257,54.59136," Barnetts Green","Anti-social behaviour"
"2015-01",-7.361057,55.01364," Springtown Road","Anti-social behaviour"
"2015-01",-5.92641,54.601179," Hill Street","Anti-social behaviour"
"2015-01",-5.93895,54.598042," Galway Street","Anti-social behaviour"
"2015-01",-5.913894,54.569337," Ormeau Road","Anti-social behaviour"
"2015-01",-6.27277,54.351555," Reilly Street","Anti-social behaviour"
"2015-01",-7.313551,54.989972," Spencer Road","Anti-social behaviour"
"2015-01",-5.669548,54.630667," Breezemount Avenue","Anti-social behaviour"
"2015-01",-5.947836,54.607187," Crimea Street","Anti-social behaviour"
"2015-01",-5.841562,54.591375," Abbey Park","Anti-social behaviour"
"2015-01",-5.932232,54.6234," Ashfield Gardens","Anti-social behaviour"
"2015-01",-6.411058,54.354794," Austin Drive","Anti-social behaviour"
"2015-01",-7.307629,54.599024," James Street","Anti-social behaviour"
"2015-01",-5.621989,54.652844," Deanfield","Anti-social behaviour"
"2015-01",-5.65874,54.639238," Rathgill Drive","Anti-social behaviour"
"2015-01",-6.6721,54.753846," Durnascallon Lane","Anti-social behaviour"
"2015-01",-5.908767,54.316681," Dunturk Road","Anti-social behaviour"
"2015-01",-6.446204,54.420425," Church Street","Anti-social behaviour"
"2015-01",-7.274574,54.60025," Riverview Park","Anti-social behaviour"
"2015-01",-6.025558,54.537365," Mosside Road","Anti-social behaviour"
"2015-01",-5.856241,54.62002," Glendarragh Mews","Anti-social behaviour"
"2015-01",-6.023044,54.559948," Stewartstown Road","Anti-social behaviour"
"2015-01",-5.815299,54.641464," Princess Park","Anti-social behaviour"
"2015-01",-5.955345,54.586155," Frenchpark Street","Anti-social behaviour"
"2015-01",-6.321428,54.193148," Carney Hall","Anti-social behaviour"
"2015-01",-6.692124,54.253627," Annvale Gardens","Anti-social behaviour"
"2015-01",-5.945246,54.612831," Manor Street","Anti-social behaviour"
"2015-01",-6.677054,55.132497," Castle Lane","Anti-social behaviour"
"2015-01",-6.341728,54.179035," Maginnis Street","Anti-social behaviour"
