"Location","Month","Crime.type","Latitude","Longitude","Postcode"
"castlelane","2015-01","Anti-socialbehaviour","54.598579","-5.929328","BT235EB"
"castlepark","2015-01","Anti-socialbehaviour","55.050697","-6.931306","BT538EW"
"castlereaghroad","2015-01","Anti-socialbehaviour","54.588542","-5.895986","BT55FF"
"castlestreet","2015-01","Anti-socialbehaviour","54.551018","-5.747209","BT210DN"
"castlestreet","2015-01","Anti-socialbehaviour","54.599189","-5.930334","BT210DN"
"castleviewcourt","2015-01","Anti-socialbehaviour","54.578789","-5.866017","BT797RD"
"castlevillas","2015-01","Anti-socialbehaviour","54.634292","-6.736924","BT808JE"
"castlevuegardens","2015-01","Anti-socialbehaviour","54.479666","-6.230421","BT670JU"
"cathedralclose","2015-01","Anti-socialbehaviour","54.348038","-6.654925","BT617EE"
"cavanroad","2015-01","Anti-socialbehaviour","54.493545","-6.704167","BT817UB"
"cedargrove","2015-01","Anti-socialbehaviour","55.11371","-6.68421","BT189QB"
"cedarheights","2015-01","Anti-socialbehaviour","54.229899","-5.933756","BT344BA"
"centralavenue","2015-01","Anti-socialbehaviour","54.660764","-5.673962","BT557BP"
"chapelfields","2015-01","Anti-socialbehaviour","54.235892","-6.168122","BT345AG"
"chestnutglen","2015-01","Anti-socialbehaviour","54.590618","-6.216453","BT294GJ"
"cheviotavenue","2015-01","Anti-socialbehaviour","54.598421","-5.885402","BT43AG"
"chichesterparkeast","2015-01","Anti-socialbehaviour","54.856328","-6.265227","BT424BH"
"chichesterstreet","2015-01","Anti-socialbehaviour","54.597383","-5.927733","BT14JQ"
"chisholmmews","2015-01","Anti-socialbehaviour","54.751092","-6.003937","BT399FN"
"churchillgardens","2015-01","Anti-socialbehaviour","54.430994","-6.448531","BT621HE"
"churchillpark","2015-01","Anti-socialbehaviour","54.433151","-6.449266","BT621ER"
"churchlane","2015-01","Anti-socialbehaviour","54.600378","-5.92577","BT623PW"
