"Location","Month","Crime.type","Latitude","Longitude","Postcode"
"exchange road","2015-01","Anti-social behaviour",54.852423,-5.818716,"BT401RX"
"fairfield court","2015-01","Anti-social behaviour",54.590223,-5.667217,"BT238GA"
"fairfield heights","2015-01","Anti-social behaviour",54.194814,-6.353661,"BT356SJ"
"fairyhill","2015-01","Anti-social behaviour",54.863951,-6.318527,"BT421FH"
"falls road","2015-01","Anti-social behaviour",54.580166,-5.980209,"BT119AB"
"farmhurst green","2015-01","Anti-social behaviour",54.580798,-5.847551,"BT57PB"
"farmley crescent","2015-01","Anti-social behaviour",54.669195,-5.96077,"BT367TX"
"farranseer park","2015-01","Anti-social behaviour",55.099933,-6.710606,"BT514NA"
"fergleen park","2015-01","Anti-social behaviour",55.030151,-7.327798,"BT488LE"
"ferguson street","2015-01","Anti-social behaviour",54.98951,-7.325588,"BT486TA"
"fernabbey court","2015-01","Anti-social behaviour",55.035573,-7.325658,"BT488RN"
"fernabbey drive","2015-01","Anti-social behaviour",55.035973,-7.323196,"BT488RE"
"fernagh gardens","2015-01","Anti-social behaviour",54.675212,-5.905815,"BT370BL"
"fernagh road","2015-01","Anti-social behaviour",54.676021,-5.906363,"BT370BE"
"fernlea gardens","2015-01","Anti-social behaviour",54.748726,-6.005964,"BT399EJ"
"ferry street","2015-01","Anti-social behaviour",54.380822,-5.547633,"BT221PB"
"findon grove","2015-01","Anti-social behaviour",54.559692,-5.968034,"BT96QN"
"fingals court","2015-01","Anti-social behaviour",54.600811,-5.940605,"BT132DP"
"finlieve place","2015-01","Anti-social behaviour",54.061377,-6.005767,"BT344BT"
"finsbury crescent","2015-01","Anti-social behaviour",54.549168,-5.896437,"BT86GH"
"firmount drive","2015-01","Anti-social behaviour",54.710663,-6.18698,"BT411JH"
"first avenue","2015-01","Anti-social behaviour",54.183544,-6.352745,"BT356EZ"
"fisherwick crescent","2015-01","Anti-social behaviour",54.871663,-6.260798,"BT437EB"
"fitzwilliam square","2015-01","Anti-social behaviour",54.584414,-5.923333,"BT71JH"
"fitzwilliam street","2015-01","Anti-social behaviour",54.585909,-5.9393,"BT96AW"
"flax street","2015-01","Anti-social behaviour",54.613656,-5.956815,"BT147EJ"
"floral park","2015-01","Anti-social behaviour",54.659852,-5.942221,"BT367RU"
"forest park","2015-01","Anti-social behaviour",54.556545,-6.016592,"BT521JJ"
